tempo,posicao,velocidade,aceleracao
0.0000,10000.0000,0.0000,-9.8100
0.0003,10000.0000,-0.0031,-9.8100
0.0006,10000.0000,-0.0062,-9.8100
0.0009,10000.0000,-0.0093,-9.8100
0.0013,10000.0000,-0.0124,-9.8100
0.0016,10000.0000,-0.0155,-9.8100
0.0019,10000.0000,-0.0186,-9.8100
0.0022,10000.0000,-0.0217,-9.8100
0.0025,10000.0000,-0.0248,-9.8100
0.0028,10000.0000,-0.0279,-9.8100
0.0032,9999.9999,-0.0310,-9.8100
0.0035,9999.9999,-0.0341,-9.8100
0.0038,9999.9999,-0.0372,-9.8100
0.0041,9999.9999,-0.0403,-9.8100
0.0044,9999.9999,-0.0434,-9.8100
0.0047,9999.9999,-0.0465,-9.8100
0.0051,9999.9999,-0.0496,-9.8100
0.0054,9999.9998,-0.0527,-9.8100
0.0057,9999.9998,-0.0558,-9.8100
0.0060,9999.9998,-0.0589,-9.8100
0.0063,9999.9998,-0.0620,-9.8100
0.0066,9999.9998,-0.0651,-9.8100
0.0070,9999.9998,-0.0682,-9.8100
0.0073,9999.9997,-0.0714,-9.8100
0.0076,9999.9997,-0.0745,-9.8100
0.0079,9999.9997,-0.0776,-9.8100
0.0082,9999.9997,-0.0807,-9.8100
0.0085,9999.9996,-0.0838,-9.8100
0.0089,9999.9996,-0.0869,-9.8100
0.0092,9999.9996,-0.0900,-9.8100
0.0095,9999.9995,-0.0931,-9.8100
0.0098,9999.9995,-0.0962,-9.8100
0.0101,9999.9995,-0.0993,-9.8100
0.0104,9999.9994,-0.1024,-9.8100
0.0108,9999.9994,-0.1055,-9.8100
0.0111,9999.9994,-0.1086,-9.8100
0.0114,9999.9993,-0.1117,-9.8100
0.0117,9999.9993,-0.1148,-9.8100
0.0120,9999.9993,-0.1179,-9.8100
0.0123,9999.9992,-0.1210,-9.8100
0.0126,9999.9992,-0.1241,-9.8100
0.0130,9999.9992,-0.1272,-9.8100
0.0133,9999.9991,-0.1303,-9.8100
0.0136,9999.9991,-0.1334,-9.8100
0.0139,9999.9990,-0.1365,-9.8100
0.0142,9999.9990,-0.1396,-9.8100
0.0145,9999.9989,-0.1427,-9.8100
0.0149,9999.9989,-0.1458,-9.8100
0.0152,9999.9988,-0.1489,-9.8100
0.0155,9999.9988,-0.1520,-9.8100
0.0158,9999.9987,-0.1551,-9.8100
0.0161,9999.9987,-0.1582,-9.8100
0.0164,9999.9986,-0.1613,-9.8100
0.0168,9999.9986,-0.1644,-9.8100
0.0171,9999.9985,-0.1675,-9.8100
0.0174,9999.9985,-0.1706,-9.8100
0.0177,9999.9984,-0.1737,-9.8100
0.0180,9999.9984,-0.1768,-9.8100
0.0183,9999.9983,-0.1799,-9.8100
0.0187,9999.9983,-0.1830,-9.8100
