tempo,posicao,velocidade,aceleracao
0.0000,10000.0000,0.0000,-9.8100
0.3162,9999.0190,-3.1022,-9.8100
0.6325,9997.0570,-6.2044,-9.8100
0.9487,9994.1140,-9.3066,-9.8100
1.2649,9990.1900,-12.4088,-9.8100
1.5811,9985.2850,-15.5109,-9.8100
1.8974,9979.3990,-18.6131,-9.8099
2.2136,9972.5321,-21.7153,-9.8099
2.5298,9964.6841,-24.8175,-9.8099
2.8460,9955.8551,-27.9196,-9.8099
3.1623,9946.0452,-31.0218,-9.8099
3.4785,9935.2542,-34.1240,-9.8099
3.7947,9923.4823,-37.2261,-9.8099
4.1110,9910.7294,-40.3283,-9.8099
4.4272,9896.9955,-43.4304,-9.8099
4.7434,9882.2806,-46.5326,-9.8099
5.0596,9866.5847,-49.6347,-9.8098
5.3759,9849.9079,-52.7369,-9.8098
5.6921,9832.2500,-55.8390,-9.8098
6.0083,9813.6112,-58.9411,-9.8098
6.3246,9793.9914,-62.0433,-9.8098
6.6408,9773.3906,-65.1454,-9.8098
6.9570,9751.8089,-68.2475,-9.8098
7.2732,9729.2461,-71.3496,-9.8098
7.5895,9705.7024,-74.4517,-9.8098
7.9057,9681.1777,-77.5539,-9.8097
8.2219,9655.6721,-80.6560,-9.8097
8.5381,9629.1854,-83.7581,-9.8097
8.8544,9601.7178,-86.8602,-9.8097
9.1706,9573.2693,-89.9623,-9.8097
9.4868,9543.8397,-93.0644,-9.8097
9.8031,9513.4292,-96.1665,-9.8097
10.1193,9482.0377,-99.2686,-9.8097
10.4355,9449.6653,-102.3707,-9.8097
10.7517,9416.3119,-105.4727,-9.8097
11.0680,9381.9775,-108.5748,-9.8096
11.3842,9346.6622,-111.6769,-9.8096
11.7004,9310.3659,-114.7790,-9.8096
12.0167,9273.0886,-117.8810,-9.8096
12.3329,9234.8304,-120.9831,-9.8096
12.6491,9195.5912,-124.0852,-9.8096
12.9653,9155.3711,-127.1872,-9.8096
13.2816,9114.1700,-130.2893,-9.8096
13.5978,9071.9879,-133.3914,-9.8096
13.9140,9028.8249,-136.4934,-9.8095
14.2302,8984.6810,-139.5955,-9.8095
14.5465,8939.5561,-142.6975,-9.8095
14.8627,8893.4502,-145.7995,-9.8095
15.1789,8846.3634,-148.9016,-9.8095
15.4952,8798.2956,-152.0036,-9.8095
15.8114,8749.2469,-155.1056,-9.8095
16.1276,8699.2173,-158.2077,-9.8095
16.4438,8648.2067,-161.3097,-9.8095
16.7601,8596.2151,-164.4117,-9.8095
17.0763,8543.2426,-167.5137,-9.8094
17.3925,8489.2892,-170.6157,-9.8094
17.7088,8434.3548,-173.7178,-9.8094
18.0250,8378.4395,-176.8198,-9.8094
18.3412,8321.5432,-179.9218,-9.8094
18.6574,8263.6660,-183.0238,-9.8094
18.9737,8204.8079,-186.1258,-9.8094
19.2899,8144.9688,-189.2278,-9.8094
19.6061,8084.1488,-192.3298,-9.8094
19.9223,8022.3479,-195.4317,-9.8093
