tempo,posicao,velocidade,aceleracao
0.0000,10000.0000,0.0000,-9.8100
0.0316,9999.9902,-0.3102,-9.8100
0.0632,9999.9706,-0.6204,-9.8100
0.0949,9999.9411,-0.9307,-9.8100
0.1265,9999.9019,-1.2409,-9.8100
0.1581,9999.8529,-1.5511,-9.8100
0.1897,9999.7940,-1.8613,-9.8100
0.2214,9999.7253,-2.1715,-9.8100
0.2530,9999.6468,-2.4818,-9.8100
0.2846,9999.5586,-2.7920,-9.8100
0.3162,9999.4605,-3.1022,-9.8100
0.3479,9999.3525,-3.4124,-9.8100
0.3795,9999.2348,-3.7226,-9.8100
0.4111,9999.1073,-4.0329,-9.8100
0.4427,9998.9700,-4.3431,-9.8100
0.4743,9998.8228,-4.6533,-9.8100
0.5060,9998.6658,-4.9635,-9.8100
0.5376,9998.4991,-5.2737,-9.8100
0.5692,9998.3225,-5.5839,-9.8100
0.6008,9998.1361,-5.8942,-9.8100
0.6325,9997.9399,-6.2044,-9.8100
0.6641,9997.7339,-6.5146,-9.8100
0.6957,9997.5181,-6.8248,-9.8100
0.7273,9997.2924,-7.1350,-9.8100
0.7589,9997.0570,-7.4453,-9.8100
0.7906,9996.8118,-7.7555,-9.8100
0.8222,9996.5567,-8.0657,-9.8100
0.8538,9996.2918,-8.3759,-9.8100
0.8854,9996.0171,-8.6861,-9.8100
0.9171,9995.7326,-8.9964,-9.8100
0.9487,9995.4384,-9.3066,-9.8100
0.9803,9995.1342,-9.6168,-9.8100
1.0119,9994.8203,-9.9270,-9.8100
1.0436,9994.4966,-10.2372,-9.8100
1.0752,9994.1631,-10.5475,-9.8100
1.1068,9993.8197,-10.8577,-9.8100
1.1384,9993.4665,-11.1679,-9.8100
1.1700,9993.1036,-11.4781,-9.8100
1.2017,9992.7308,-11.7883,-9.8100
1.2333,9992.3482,-12.0986,-9.8100
1.2649,9991.9558,-12.4088,-9.8100
1.2965,9991.5536,-12.7190,-9.8100
1.3282,9991.1416,-13.0292,-9.8100
1.3598,9990.7197,-13.3394,-9.8100
1.3914,9990.2881,-13.6497,-9.8100
1.4230,9989.8467,-13.9599,-9.8100
1.4546,9989.3954,-14.2701,-9.8100
1.4863,9988.9343,-14.5803,-9.8100
1.5179,9988.4634,-14.8905,-9.8100
1.5495,9987.9828,-15.2008,-9.8100
1.5811,9987.4923,-15.5110,-9.8100
1.6128,9986.9919,-15.8212,-9.8100
1.6444,9986.4818,-16.1314,-9.8100
1.6760,9985.9619,-16.4416,-9.8100
1.7076,9985.4322,-16.7518,-9.8100
1.7393,9984.8926,-17.0621,-9.8100
1.7709,9984.3432,-17.3723,-9.8100
1.8025,9983.7841,-17.6825,-9.8100
1.8341,9983.2151,-17.9927,-9.8100
1.8657,9982.6363,-18.3029,-9.8100
