tempo,posicao,velocidade,aceleracao
0.0000,10000.0000,0.0000,-9.8100
0.0032,9999.9999,-0.0310,-9.8100
0.0063,9999.9997,-0.0620,-9.8100
0.0095,9999.9994,-0.0931,-9.8100
0.0126,9999.9990,-0.1241,-9.8100
0.0158,9999.9985,-0.1551,-9.8100
0.0190,9999.9979,-0.1861,-9.8099
0.0221,9999.9973,-0.2172,-9.8099
0.0253,9999.9965,-0.2482,-9.8099
0.0285,9999.9956,-0.2792,-9.8098
0.0316,9999.9946,-0.3102,-9.8098
0.0348,9999.9935,-0.3412,-9.8097
0.0379,9999.9923,-0.3723,-9.8097
0.0411,9999.9911,-0.4033,-9.8096
0.0443,9999.9897,-0.4343,-9.8095
0.0474,9999.9882,-0.4653,-9.8095
0.0506,9999.9867,-0.4963,-9.8094
0.0538,9999.9850,-0.5274,-9.8093
0.0569,9999.9832,-0.5584,-9.8092
0.0601,9999.9814,-0.5894,-9.8091
0.0632,9999.9794,-0.6204,-9.8090
0.0664,9999.9773,-0.6514,-9.8089
0.0696,9999.9752,-0.6825,-9.8088
0.0727,9999.9729,-0.7135,-9.8087
0.0759,9999.9706,-0.7445,-9.8085
0.0791,9999.9681,-0.7755,-9.8084
0.0822,9999.9656,-0.8065,-9.8083
0.0854,9999.9629,-0.8375,-9.8081
0.0885,9999.9602,-0.8686,-9.8080
0.0917,9999.9573,-0.8996,-9.8078
0.0949,9999.9544,-0.9306,-9.8077
0.0980,9999.9513,-0.9616,-9.8075
0.1012,9999.9482,-0.9926,-9.8073
0.1044,9999.9450,-1.0236,-9.8072
0.1075,9999.9416,-1.0546,-9.8070
0.1107,9999.9382,-1.0856,-9.8068
0.1138,9999.9347,-1.1167,-9.8066
0.1170,9999.9310,-1.1477,-9.8064
0.1202,9999.9273,-1.1787,-9.8062
0.1233,9999.9235,-1.2097,-9.8060
0.1265,9999.9196,-1.2407,-9.8058
0.1297,9999.9155,-1.2717,-9.8056
0.1328,9999.9114,-1.3027,-9.8053
0.1360,9999.9072,-1.3337,-9.8051
0.1391,9999.9029,-1.3647,-9.8049
0.1423,9999.8985,-1.3957,-9.8046
0.1455,9999.8940,-1.4267,-9.8044
0.1486,9999.8894,-1.4577,-9.8041
0.1518,9999.8846,-1.4887,-9.8039
0.1550,9999.8798,-1.5197,-9.8036
0.1581,9999.8749,-1.5507,-9.8034
0.1613,9999.8699,-1.5817,-9.8031
0.1644,9999.8648,-1.6127,-9.8028
0.1676,9999.8596,-1.6437,-9.8025
0.1708,9999.8543,-1.6747,-9.8022
0.1739,9999.8489,-1.7057,-9.8019
0.1771,9999.8435,-1.7367,-9.8016
0.1802,9999.8379,-1.7677,-9.8013
0.1834,9999.8322,-1.7987,-9.8010
0.1866,9999.8264,-1.8297,-9.8007
0.1897,9999.8205,-1.8607,-9.8004
0.1929,9999.8145,-1.8917,-9.8000
0.1961,9999.8084,-1.9227,-9.7997
0.1992,9999.8023,-1.9537,-9.7994
0.2024,9999.7960,-1.9847,-9.7990
0.2055,9999.7896,-2.0156,-9.7987
0.2087,9999.7831,-2.0466,-9.7983
0.2119,9999.7766,-2.0776,-9.7979
0.2150,9999.7699,-2.1086,-9.7976
0.2182,9999.7631,-2.1396,-9.7972
0.2214,9999.7563,-2.1706,-9.7968
0.2245,9999.7493,-2.2015,-9.7964
0.2277,9999.7423,-2.2325,-9.7960
0.2308,9999.7351,-2.2635,-9.7957
0.2340,9999.7278,-2.2945,-9.7953
0.2372,9999.7205,-2.3254,-9.7948
0.2403,9999.7130,-2.3564,-9.7944
0.2435,9999.7055,-2.3874,-9.7940
0.2467,9999.6978,-2.4184,-9.7936
0.2498,9999.6901,-2.4493,-9.7932
0.2530,9999.6823,-2.4803,-9.7927
0.2561,9999.6743,-2.5113,-9.7923
0.2593,9999.6663,-2.5422,-9.7918
0.2625,9999.6581,-2.5732,-9.7914
0.2656,9999.6499,-2.6041,-9.7909
0.2688,9999.6416,-2.6351,-9.7905
0.2720,9999.6331,-2.6661,-9.7900
0.2751,9999.6246,-2.6970,-9.7895
0.2783,9999.6160,-2.7280,-9.7891
0.2814,9999.6073,-2.7589,-9.7886
0.2846,9999.5984,-2.7899,-9.7881
0.2878,9999.5895,-2.8208,-9.7876
0.2909,9999.5805,-2.8518,-9.7871
0.2941,9999.5714,-2.8827,-9.7866
0.2973,9999.5622,-2.9137,-9.7861
0.3004,9999.5529,-2.9446,-9.7856
0.3036,9999.5434,-2.9756,-9.7850
0.3067,9999.5339,-3.0065,-9.7845
0.3099,9999.5243,-3.0374,-9.7840
0.3131,9999.5146,-3.0684,-9.7834
