tempo,posicao,velocidade,aceleracao
0.0000,10000.0000,0.0000,-9.8100
0.0100,9999.9990,-0.0981,-9.8100
0.0200,9999.9971,-0.1962,-9.8100
0.0300,9999.9941,-0.2943,-9.8099
0.0400,9999.9902,-0.3924,-9.8098
0.0500,9999.9853,-0.4905,-9.8096
0.0600,9999.9794,-0.5886,-9.8093
0.0700,9999.9725,-0.6867,-9.8090
0.0800,9999.9647,-0.7848,-9.8086
0.0900,9999.9559,-0.8828,-9.8082
0.1000,9999.9460,-0.9809,-9.8078
0.1100,9999.9353,-1.0790,-9.8072
0.1200,9999.9235,-1.1771,-9.8066
0.1300,9999.9107,-1.2751,-9.8060
0.1400,9999.8970,-1.3732,-9.8053
0.1500,9999.8823,-1.4712,-9.8046
0.1600,9999.8666,-1.5693,-9.8038
0.1700,9999.8499,-1.6673,-9.8029
0.1800,9999.8323,-1.7653,-9.8020
0.1900,9999.8136,-1.8633,-9.8010
0.2000,9999.7940,-1.9613,-9.8000
0.2100,9999.7734,-2.0593,-9.7989
0.2200,9999.7519,-2.1573,-9.7978
0.2300,9999.7293,-2.2552,-9.7966
0.2400,9999.7058,-2.3532,-9.7954
0.2500,9999.6813,-2.4511,-9.7941
0.2600,9999.6558,-2.5491,-9.7927
0.2700,9999.6293,-2.6470,-9.7913
0.2800,9999.6019,-2.7449,-9.7898
0.2900,9999.5734,-2.8428,-9.7883
0.3000,9999.5440,-2.9406,-9.7867
0.3100,9999.5136,-3.0385,-9.7851
0.3200,9999.4823,-3.1363,-9.7834
0.3300,9999.4499,-3.2341,-9.7817
0.3400,9999.4166,-3.3319,-9.7799
0.3500,9999.3823,-3.4297,-9.7780
0.3600,9999.3470,-3.5275,-9.7761
0.3700,9999.3108,-3.6252,-9.7742
0.3800,9999.2736,-3.7229,-9.7722
0.3900,9999.2354,-3.8206,-9.7701
0.4000,9999.1962,-3.9183,-9.7680
0.4100,9999.1560,-4.0160,-9.7658
0.4200,9999.1149,-4.1136,-9.7636
0.4300,9999.0728,-4.2112,-9.7613
0.4400,9999.0297,-4.3088,-9.7589
0.4500,9998.9856,-4.4064,-9.7566
0.4600,9998.9406,-4.5039,-9.7541
0.4700,9998.8946,-4.6014,-9.7516
0.4800,9998.8476,-4.6989,-9.7490
0.4900,9998.7996,-4.7964,-9.7464
0.5000,9998.7507,-4.8938,-9.7438
0.5100,9998.7008,-4.9912,-9.7411
0.5200,9998.6499,-5.0886,-9.7383
0.5300,9998.5980,-5.1860,-9.7355
0.5400,9998.5452,-5.2833,-9.7326
0.5500,9998.4914,-5.3806,-9.7296
0.5600,9998.4366,-5.4779,-9.7267
0.5700,9998.3808,-5.5751,-9.7236
0.5800,9998.3241,-5.6723,-9.7205
0.5900,9998.2664,-5.7695,-9.7174
0.6000,9998.2078,-5.8666,-9.7142
0.6100,9998.1481,-5.9637,-9.7109
0.6200,9998.0875,-6.0608,-9.7076
0.6300,9998.0259,-6.1579,-9.7043
0.6400,9997.9634,-6.2549,-9.7008
0.6500,9997.8999,-6.3518,-9.6974
0.6600,9997.8354,-6.4488,-9.6939
0.6700,9997.7699,-6.5457,-9.6903
0.6800,9997.7035,-6.6425,-9.6867
0.6900,9997.6361,-6.7394,-9.6830
0.7000,9997.5677,-6.8362,-9.6792
0.7100,9997.4984,-6.9329,-9.6755
0.7200,9997.4281,-7.0296,-9.6716
0.7300,9997.3568,-7.1263,-9.6677
0.7400,9997.2846,-7.2230,-9.6638
0.7500,9997.2114,-7.3195,-9.6598
0.7600,9997.1373,-7.4161,-9.6558
0.7700,9997.0621,-7.5126,-9.6517
0.7800,9996.9860,-7.6091,-9.6475
0.7900,9996.9090,-7.7055,-9.6433
0.8000,9996.8310,-7.8019,-9.6391
0.8100,9996.7520,-7.8983,-9.6348
0.8200,9996.6720,-7.9946,-9.6304
0.8300,9996.5911,-8.0908,-9.6260
0.8400,9996.5093,-8.1871,-9.6216
0.8500,9996.4264,-8.2832,-9.6170
0.8600,9996.3426,-8.3793,-9.6125
0.8700,9996.2579,-8.4754,-9.6079
0.8800,9996.1722,-8.5715,-9.6032
0.8900,9996.0855,-8.6674,-9.5985
0.9000,9995.9979,-8.7634,-9.5937
0.9100,9995.9093,-8.8593,-9.5889
0.9200,9995.8197,-8.9551,-9.5841
0.9300,9995.7292,-9.0509,-9.5791
0.9400,9995.6377,-9.1466,-9.5742
0.9500,9995.5453,-9.2423,-9.5692
0.9600,9995.4519,-9.3380,-9.5641
0.9700,9995.3576,-9.4336,-9.5590
0.9800,9995.2623,-9.5291,-9.5538
0.9900,9995.1661,-9.6246,-9.5486
1.0000,9995.0689,-9.7200,-9.5433
1.0100,9994.9707,-9.8154,-9.5380
1.0200,9994.8716,-9.9107,-9.5327
1.0300,9994.7715,-10.0060,-9.5272
1.0400,9994.6705,-10.1012,-9.5218
1.0500,9994.5686,-10.1964,-9.5163
1.0600,9994.4657,-10.2915,-9.5107
1.0700,9994.3618,-10.3865,-9.5051
1.0800,9994.2570,-10.4815,-9.4994
1.0900,9994.1512,-10.5765,-9.4937
1.1000,9994.0445,-10.6714,-9.4880
1.1100,9993.9368,-10.7662,-9.4822
1.1200,9993.8282,-10.8609,-9.4763
1.1300,9993.7187,-10.9556,-9.4704
1.1400,9993.6082,-11.0503,-9.4645
1.1500,9993.4967,-11.1449,-9.4585
1.1600,9993.3843,-11.2394,-9.4524
1.1700,9993.2710,-11.3339,-9.4463
1.1800,9993.1567,-11.4283,-9.4402
1.1900,9993.0415,-11.5226,-9.4340
1.2000,9992.9253,-11.6169,-9.4278
1.2100,9992.8082,-11.7111,-9.4215
1.2200,9992.6901,-11.8052,-9.4152
1.2300,9992.5711,-11.8993,-9.4088
1.2400,9992.4512,-11.9934,-9.4024
1.2500,9992.3303,-12.0873,-9.3959
1.2600,9992.2085,-12.1812,-9.3894
1.2700,9992.0858,-12.2750,-9.3828
1.2800,9991.9621,-12.3688,-9.3762
1.2900,9991.8375,-12.4625,-9.3696
1.3000,9991.7119,-12.5561,-9.3629
1.3100,9991.5854,-12.6497,-9.3561
1.3200,9991.4580,-12.7432,-9.3494
1.3300,9991.3296,-12.8366,-9.3425
1.3400,9991.2003,-12.9300,-9.3356
1.3500,9991.0701,-13.0232,-9.3287
1.3600,9990.9389,-13.1165,-9.3217
1.3700,9990.8068,-13.2096,-9.3147
1.3800,9990.6738,-13.3027,-9.3077
1.3900,9990.5398,-13.3957,-9.3006
1.4000,9990.4049,-13.4886,-9.2934
1.4100,9990.2691,-13.5815,-9.2862
1.4200,9990.1324,-13.6743,-9.2790
1.4300,9989.9947,-13.7670,-9.2717
1.4400,9989.8561,-13.8596,-9.2644
1.4500,9989.7166,-13.9522,-9.2570
1.4600,9989.5762,-14.0447,-9.2496
1.4700,9989.4348,-14.1371,-9.2422
1.4800,9989.2925,-14.2295,-9.2347
1.4900,9989.1493,-14.3217,-9.2271
1.5000,9989.0051,-14.4139,-9.2195
1.5100,9988.8601,-14.5061,-9.2119
1.5200,9988.7141,-14.5981,-9.2042
1.5300,9988.5672,-14.6901,-9.1965
1.5400,9988.4194,-14.7820,-9.1888
1.5500,9988.2706,-14.8738,-9.1810
1.5600,9988.1210,-14.9655,-9.1731
1.5700,9987.9704,-15.0572,-9.1653
1.5800,9987.8189,-15.1487,-9.1573
1.5900,9987.6665,-15.2402,-9.1494
1.6000,9987.5132,-15.3316,-9.1414
1.6100,9987.3590,-15.4230,-9.1333
1.6200,9987.2038,-15.5142,-9.1252
1.6300,9987.0478,-15.6054,-9.1171
1.6400,9986.8908,-15.6965,-9.1089
1.6500,9986.7329,-15.7875,-9.1007
1.6600,9986.5741,-15.8784,-9.0925
1.6700,9986.4145,-15.9693,-9.0842
1.6800,9986.2539,-16.0600,-9.0759
1.6900,9986.0924,-16.1507,-9.0675
1.7000,9985.9299,-16.2413,-9.0591
1.7100,9985.7666,-16.3318,-9.0506
1.7200,9985.6024,-16.4222,-9.0422
1.7300,9985.4373,-16.5125,-9.0336
1.7400,9985.2712,-16.6028,-9.0251
1.7500,9985.1043,-16.6930,-9.0165
1.7600,9984.9365,-16.7830,-9.0078
1.7700,9984.7678,-16.8730,-8.9991
1.7800,9984.5981,-16.9629,-8.9904
1.7900,9984.4276,-17.0527,-8.9817
1.8000,9984.2562,-17.1425,-8.9729
1.8100,9984.0839,-17.2321,-8.9640
1.8200,9983.9106,-17.3217,-8.9552
1.8300,9983.7365,-17.4111,-8.9463
1.8400,9983.5615,-17.5005,-8.9373
1.8500,9983.3856,-17.5898,-8.9283
1.8600,9983.2088,-17.6790,-8.9193
1.8700,9983.0311,-17.7681,-8.9103
1.8800,9982.8526,-17.8571,-8.9012
1.8900,9982.6731,-17.9460,-8.8920
1.9000,9982.4928,-18.0348,-8.8829
1.9100,9982.3115,-18.1236,-8.8737
1.9200,9982.1294,-18.2122,-8.8644
1.9300,9981.9464,-18.3008,-8.8552
1.9400,9981.7625,-18.3892,-8.8459
1.9500,9981.5777,-18.4776,-8.8365
1.9600,9981.3921,-18.5659,-8.8271
1.9700,9981.2055,-18.6540,-8.8177
1.9800,9981.0181,-18.7421,-8.8083
1.9900,9980.8298,-18.8301,-8.7988
2.0000,9980.6406,-18.9180,-8.7893
2.0100,9980.4506,-19.0058,-8.7797
2.0200,9980.2596,-19.0935,-8.7701
