tempo,posicao,velocidade,aceleracao
0.0000,10000.0000,0.0000,-9.8100
0.0316,9999.9902,-0.3102,-9.8100
0.0632,9999.9706,-0.6204,-9.8097
0.0949,9999.9411,-0.9306,-9.8089
0.1265,9999.9019,-1.2408,-9.8075
0.1581,9999.8529,-1.5508,-9.8056
0.1897,9999.7940,-1.8608,-9.8031
0.2214,9999.7254,-2.1707,-9.8000
0.2530,9999.6469,-2.4805,-9.7964
0.2846,9999.5587,-2.7902,-9.7923
0.3162,9999.4607,-3.0997,-9.7876
0.3479,9999.3529,-3.4090,-9.7823
0.3795,9999.2353,-3.7182,-9.7765
0.4111,9999.1079,-4.0272,-9.7702
0.4427,9998.9708,-4.3359,-9.7633
0.4743,9998.8240,-4.6444,-9.7559
0.5060,9998.6673,-4.9527,-9.7479
0.5376,9998.5010,-5.2607,-9.7394
0.5692,9998.3249,-5.5684,-9.7303
0.6008,9998.1391,-5.8758,-9.7207
0.6325,9997.9436,-6.1828,-9.7106
0.6641,9997.7384,-6.4896,-9.7000
0.6957,9997.5234,-6.7960,-9.6888
0.7273,9997.2989,-7.1020,-9.6770
0.7589,9997.0646,-7.4076,-9.6648
0.7906,9996.8207,-7.7128,-9.6520
0.8222,9996.5672,-8.0176,-9.6387
0.8538,9996.3040,-8.3220,-9.6249
0.8854,9996.0312,-8.6259,-9.6106
0.9171,9995.7489,-8.9294,-9.5958
0.9487,9995.4569,-9.2323,-9.5805
0.9803,9995.1554,-9.5348,-9.5646
1.0119,9994.8443,-9.8367,-9.5483
1.0436,9994.5237,-10.1381,-9.5314
1.0752,9994.1936,-10.4390,-9.5141
1.1068,9993.8540,-10.7393,-9.4963
1.1384,9993.5049,-11.0390,-9.4780
1.1700,9993.1464,-11.3381,-9.4592
1.2017,9992.7784,-11.6367,-9.4399
1.2333,9992.4010,-11.9346,-9.4202
1.2649,9992.0142,-12.2318,-9.4000
1.2965,9991.6180,-12.5284,-9.3793
1.3282,9991.2125,-12.8243,-9.3581
1.3598,9990.7976,-13.1196,-9.3366
1.3914,9990.3734,-13.4141,-9.3145
1.4230,9989.9399,-13.7080,-9.2920
1.4546,9989.4972,-14.0011,-9.2691
1.4863,9989.0452,-14.2935,-9.2457
1.5179,9988.5840,-14.5851,-9.2219
1.5495,9988.1135,-14.8759,-9.1976
1.5811,9987.6339,-15.1660,-9.1730
1.6128,9987.1452,-15.4553,-9.1479
1.6444,9986.6473,-15.7438,-9.1224
1.6760,9986.1404,-16.0314,-9.0965
1.7076,9985.6244,-16.3182,-9.0701
1.7393,9985.0993,-16.6042,-9.0434
1.7709,9984.5652,-16.8893,-9.0163
1.8025,9984.0221,-17.1736,-8.9888
1.8341,9983.4701,-17.4570,-8.9610
1.8657,9982.9091,-17.7394,-8.9327
