tempo,posicao,velocidade,aceleracao
37.9473,8010.7822,-58.3756,-0.0001
38.2636,7992.3222,-58.3756,-0.0001
38.5798,7973.8622,-58.3756,-0.0001
38.8960,7955.4022,-58.3756,-0.0000
39.2122,7936.9422,-58.3756,-0.0000
39.5285,7918.4822,-58.3757,-0.0000
39.8447,7900.0222,-58.3757,-0.0000
40.1609,7881.5622,-58.3757,-0.0000
40.4772,7863.1022,-58.3757,-0.0000
40.7934,7844.6421,-58.3757,-0.0000
41.1096,7826.1821,-58.3757,-0.0000
41.4258,7807.7221,-58.3757,-0.0000
41.7421,7789.2621,-58.3757,-0.0000
42.0583,7770.8021,-58.3757,-0.0000
42.3745,7752.3420,-58.3757,-0.0000
42.6907,7733.8820,-58.3757,-0.0000
43.0070,7715.4220,-58.3757,-0.0000
43.3232,7696.9620,-58.3757,-0.0000
43.6394,7678.5019,-58.3757,-0.0000
43.9557,7660.0419,-58.3757,-0.0000
44.2719,7641.5819,-58.3757,-0.0000
44.5881,7623.1218,-58.3757,-0.0000
44.9043,7604.6618,-58.3757,-0.0000
45.2206,7586.2018,-58.3757,-0.0000
45.5368,7567.7417,-58.3757,-0.0000
45.8530,7549.2817,-58.3757,-0.0000
46.1693,7530.8217,-58.3757,-0.0000
46.4855,7512.3616,-58.3757,-0.0000
46.8017,7493.9016,-58.3757,-0.0000
47.1179,7475.4416,-58.3758,-0.0000
47.4342,7456.9815,-58.3758,-0.0000
47.7504,7438.5215,-58.3758,-0.0000
48.0666,7420.0615,-58.3758,-0.0000
48.3828,7401.6014,-58.3758,-0.0000
48.6991,7383.1414,-58.3758,-0.0000
49.0153,7364.6814,-58.3758,-0.0000
49.3315,7346.2213,-58.3758,-0.0000
49.6478,7327.7613,-58.3758,-0.0000
49.9640,7309.3013,-58.3758,-0.0000
50.2802,7290.8412,-58.3758,-0.0000
50.5964,7272.3812,-58.3758,-0.0000
50.9127,7253.9212,-58.3758,-0.0000
51.2289,7235.4611,-58.3758,-0.0000
51.5451,7217.0011,-58.3758,-0.0000
51.8614,7198.5411,-58.3758,-0.0000
52.1776,7180.0810,-58.3758,-0.0000
52.4938,7161.6210,-58.3758,-0.0000
52.8100,7143.1610,-58.3758,-0.0000
53.1263,7124.7009,-58.3758,-0.0000
53.4425,7106.2409,-58.3758,-0.0000
53.7587,7087.7809,-58.3758,-0.0000
54.0749,7069.3208,-58.3758,-0.0000
54.3912,7050.8608,-58.3758,-0.0000
54.7074,7032.4008,-58.3758,-0.0000
55.0236,7013.9407,-58.3758,-0.0000
55.3399,6995.4807,-58.3758,-0.0000
55.6561,6977.0206,-58.3758,-0.0000
55.9723,6958.5606,-58.3758,-0.0000
56.2885,6940.1006,-58.3758,-0.0000
56.6048,6921.6405,-58.3758,-0.0000
56.9210,6903.1805,-58.3758,-0.0000
57.2372,6884.7205,-58.3758,-0.0000
57.5535,6866.2604,-58.3758,-0.0000
57.8697,6847.8004,-58.3758,-0.0000
58.1859,6829.3404,-58.3758,-0.0000
58.5021,6810.8803,-58.3758,-0.0000
58.8184,6792.4203,-58.3758,-0.0000
59.1346,6773.9603,-58.3758,-0.0000
59.4508,6755.5002,-58.3758,-0.0000
59.7670,6737.0402,-58.3758,-0.0000
60.0833,6718.5802,-58.3758,-0.0000
60.3995,6700.1201,-58.3758,-0.0000
60.7157,6681.6601,-58.3758,-0.0000
61.0320,6663.2000,-58.3758,-0.0000
61.3482,6644.7400,-58.3758,-0.0000
61.6644,6626.2800,-58.3758,-0.0000
61.9806,6607.8199,-58.3758,-0.0000
62.2969,6589.3599,-58.3758,-0.0000
62.6131,6570.8999,-58.3758,-0.0000
62.9293,6552.4398,-58.3758,-0.0000
63.2456,6533.9798,-58.3758,-0.0000
63.5618,6515.5198,-58.3758,-0.0000
