tempo,posicao,velocidade,aceleracao
0.0000,10000.0000,0.0000,-9.8100
0.1000,9999.9019,-0.9810,-9.8100
0.2000,9999.7057,-1.9617,-9.8072
0.3000,9999.4116,-2.9416,-9.7989
0.4000,9999.0196,-3.9201,-9.7851
0.5000,9998.5299,-4.8967,-9.7658
0.6000,9997.9428,-5.8708,-9.7410
0.7000,9997.2586,-6.8419,-9.7108
0.8000,9996.4777,-7.8094,-9.6752
0.9000,9995.6004,-8.7728,-9.6344
1.0000,9994.6272,-9.7317,-9.5884
1.1000,9993.5587,-10.6854,-9.5374
1.2000,9992.3953,-11.6336,-9.4813
1.3000,9991.1378,-12.5756,-9.4204
1.4000,9989.7867,-13.5111,-9.3547
1.5000,9988.3427,-14.4395,-9.2845
1.6000,9986.8067,-15.3605,-9.2098
1.7000,9985.1793,-16.2736,-9.1308
1.8000,9983.4615,-17.1783,-9.0476
1.9000,9981.6540,-18.0744,-8.9605
2.0000,9979.7579,-18.9613,-8.8696
2.1000,9977.7740,-19.8388,-8.7750
2.2000,9975.7034,-20.7065,-8.6770
2.3000,9973.5469,-21.5641,-8.5757
2.4000,9971.3058,-22.4112,-8.4714
2.5000,9968.9811,-23.2477,-8.3641
2.6000,9966.5737,-24.0731,-8.2542
2.7000,9964.0850,-24.8872,-8.1417
2.8000,9961.5160,-25.6899,-8.0270
2.9000,9958.8679,-26.4810,-7.9101
3.0000,9956.1419,-27.2601,-7.7913
3.1000,9953.3392,-28.0272,-7.6708
3.2000,9950.4610,-28.7820,-7.5487
3.3000,9947.5086,-29.5245,-7.4252
3.4000,9944.4831,-30.2546,-7.3006
3.5000,9941.3859,-30.9721,-7.1750
3.6000,9938.2182,-31.6770,-7.0485
3.7000,9934.9813,-32.3691,-6.9214
3.8000,9931.6764,-33.0485,-6.7938
3.9000,9928.3049,-33.7151,-6.6658
4.0000,9924.8680,-34.3688,-6.5377
4.1000,9921.3671,-35.0098,-6.4096
4.2000,9917.8033,-35.6379,-6.2816
4.3000,9914.1779,-36.2533,-6.1538
4.4000,9910.4923,-36.8560,-6.0265
4.5000,9906.7478,-37.4459,-5.8996
4.6000,9902.9454,-38.0233,-5.7734
4.7000,9899.0866,-38.5881,-5.6480
4.8000,9895.1726,-39.1404,-5.5234
4.9000,9891.2045,-39.6804,-5.3998
5.0000,9887.1837,-40.2081,-5.2773
5.1000,9883.1114,-40.7237,-5.1559
5.2000,9878.9886,-41.2273,-5.0358
5.3000,9874.8167,-41.7190,-4.9170
5.4000,9870.5968,-42.1990,-4.7996
5.5000,9866.3301,-42.6673,-4.6837
5.6000,9862.0177,-43.1243,-4.5692
5.7000,9857.6607,-43.5699,-4.4564
5.8000,9853.2602,-44.0044,-4.3452
5.9000,9848.8174,-44.4280,-4.2356
6.0000,9844.3334,-44.8407,-4.1278
6.1000,9839.8091,-45.2429,-4.0217
6.2000,9835.2456,-45.6347,-3.9174
